label,std,mean,min,max
0,0.3028792496090645,25.3828125,24.5,26.0
0,0.3153918925692883,25.63671875,24.75,26.25
0,0.3310647698501571,25.27734375,24.5,26.0
0,0.36166053122195957,25.3828125,24.5,26.25
0,0.29828509688457033,25.70703125,25.0,26.25
0,0.41221581119602874,25.5625,24.25,26.5
0,0.4261752763956838,25.87890625,24.75,26.75
0,0.4201171420996024,25.58984375,24.25,26.75
0,0.33034960174790584,25.390625,24.5,26.0
0,0.3563048203434806,25.1875,24.5,26.5
0,0.3550822074160257,25.45703125,24.5,26.25
0,0.3478975637220675,25.4921875,24.25,26.5
0,0.3130610198482678,25.55078125,24.75,26.25
0,0.40743142516371694,25.12109375,24.0,26.0
0,0.385275875185561,25.8125,24.75,26.5
0,0.34426009738050894,25.57421875,24.75,26.25
0,0.33511891546136274,25.90625,25.0,26.5
0,0.33356721937826866,25.1328125,24.5,26.25
0,0.3605407383686863,25.54296875,24.75,26.25
0,0.3538769303528241,25.52734375,24.75,26.25
0,0.3924955214712647,25.234375,24.0,26.5
0,0.3531863539067407,25.53515625,24.75,26.5
0,0.370558824983885,25.48046875,24.75,26.25
0,0.3469093099585791,25.59765625,25.0,26.5
0,0.388882833766724,25.23828125,24.0,26.0
0,0.3422374392782736,25.1328125,24.25,26.0
0,0.3451675317871019,25.75,25.0,26.5
0,0.4041222826520922,25.59765625,24.5,26.5
0,0.4259066615762191,25.421875,24.25,26.5
0,0.31383990090241476,25.51171875,25.0,26.0
0,0.3535533905932738,25.25,24.5,26.0
0,0.3147380793513076,25.3984375,24.75,26.0
0,0.4247407009999601,25.16015625,24.25,26.5
0,0.40788059177710023,25.30078125,24.25,26.5
0,0.36724982848660054,25.08203125,24.25,26.0
0,0.3476343040826092,25.515625,24.75,26.25
1,0.5702054694088351,26.1953125,25.25,28.5
1,0.5430109021407857,26.2578125,25.0,28.25
1,0.4839810646073227,26.38671875,25.5,28.25
1,0.5105694392967033,26.4296875,25.5,28.5
1,0.602272308506501,26.2265625,24.75,28.25
1,0.5249947683891122,25.97265625,25.0,27.5
1,0.5874979222037726,26.3984375,25.75,28.75
1,0.4923579813874631,25.97265625,25.0,27.5
1,0.49396689757354945,25.88671875,25.0,27.5
1,0.5258079488020674,26.04296875,25.0,27.5
1,0.6173234620812151,26.52734375,25.25,28.5
1,0.46607308557108296,26.0390625,25.0,27.5
1,0.5638952963746351,26.14453125,25.0,27.75
1,0.5103751444633031,26.16015625,25.0,27.5
1,0.544638283060418,25.796875,24.75,28.0
1,0.5113309599329358,25.96484375,25.0,28.0
1,0.5267357606271265,26.33203125,25.5,28.25
1,0.522679021364929,25.859375,24.5,27.75
1,0.5005947390588893,26.01953125,24.75,27.5
1,0.5056896735137445,25.86328125,24.75,27.5
1,0.5697771459910883,25.9609375,25.25,27.75
1,0.5204409329101983,25.92578125,25.0,27.5
1,0.6642003533385088,25.734375,24.75,28.0
1,0.539444497803933,25.87890625,25.0,27.75
1,0.5118081982891027,26.22265625,24.75,28.0
1,0.5608564312936399,25.58203125,24.5,27.5
1,0.4890774758090481,25.9296875,25.0,27.5
1,0.5361532683369911,26.44921875,25.25,28.25
1,0.6185211066527965,26.015625,24.75,28.25
1,0.5874979222037726,26.3515625,25.0,28.0
1,0.5722756238460952,25.92578125,25.25,27.75
1,0.6895278155364274,25.98828125,25.0,28.25
1,0.6530684597237395,25.33984375,24.25,27.25
1,0.6105757400806225,26.046875,24.75,28.0
1,0.6591153035686833,26.01171875,25.0,28.0
1,0.6417672743097765,25.984375,24.5,28.0
1,0.5186788119452515,26.05859375,24.75,27.75
1,0.5816903363998215,25.68359375,24.25,27.75
1,0.5969153904854837,26.01171875,24.5,28.0
1,0.5353130472851844,25.9765625,25.0,28.0
1,0.5779006110145044,25.62109375,24.0,27.25
1,0.524529527849422,25.78515625,24.75,27.25
1,0.5240638742900883,26.09765625,25.0,27.75
1,0.6672716574557547,26.2421875,25.25,28.25
1,0.5447363315388808,25.88671875,25.25,27.5
1,0.59375,25.78125,24.75,27.5
1,0.6245603922710357,26.1484375,24.75,28.0
1,0.5625949355650454,25.66796875,24.5,27.25
1,0.6158386169674954,25.69921875,24.25,27.75
1,0.6578176031571651,26.04296875,24.75,27.75
1,0.5467494275474255,26.16796875,25.25,27.75
1,0.6844748785565472,25.953125,24.75,27.75
1,0.6701922969146616,26.3671875,25.0,28.75
1,0.6662990828250009,25.98046875,24.75,28.0
1,0.6034871807617375,26.3046875,25.25,28.25
1,0.6740403877631795,25.84765625,24.25,28.25
1,0.5556082806469298,26.16796875,25.0,28.0
1,0.6355433936982097,26.10546875,25.0,28.25
1,0.57282196186948,25.625,24.5,27.25
1,0.5744711392609293,25.6328125,24.75,27.5
1,0.5587985856952395,25.859375,25.0,28.0
1,0.5189288095442379,25.453125,24.25,27.0
1,0.638716669874053,25.953125,24.75,28.25
1,0.7022455437458734,26.25390625,25.5,28.75
1,0.522430818349126,25.80859375,24.75,27.5
1,0.5923992654016693,26.17578125,25.5,28.0
1,0.8131007394536055,25.96875,25.0,28.25
1,0.769273433969312,26.12890625,25.25,28.5
1,0.602310310355831,26.05859375,25.0,28.25
1,0.7757521394336837,26.02734375,24.5,28.5
1,0.6206390827959113,26.1640625,25.0,28.25
1,0.5234812248528475,25.98046875,24.75,27.5
1,0.701114747846911,26.07421875,25.0,28.25
1,0.853236242175013,25.94140625,24.75,28.75
1,0.5863019699779287,25.875,24.75,28.25
2,0.8166585286052855,26.1953125,25.25,28.75
2,0.7904149918713587,26.421875,25.0,28.75
2,0.7459198913925007,26.265625,25.25,29.0
2,0.6859001271139991,26.703125,25.25,28.75
2,0.8308842592947288,26.4453125,25.25,29.25
2,0.7792063113103855,26.53515625,25.25,28.5
2,0.6417672743097765,26.546875,25.5,28.5
2,0.7740192729906262,26.44140625,25.25,29.0
2,0.8147504890302306,26.484375,25.25,29.0
2,0.650833299989329,26.328125,25.5,28.25
2,0.7302075903467452,26.0625,24.25,28.0
2,0.6260611109535853,26.42578125,25.25,28.25
2,0.7954855380275229,26.37890625,25.25,28.75
2,0.7027776920015318,25.765625,24.5,27.75
2,0.6639705818737378,25.7734375,24.5,27.5
2,0.6835379441506887,25.9140625,24.75,28.25
2,0.604838381531329,25.76953125,24.5,27.75
2,0.5998351824407685,25.9140625,24.75,27.25
2,0.7318357029373123,25.5859375,24.5,27.75
2,0.5982049156382367,26.0859375,25.25,28.0
2,0.6265483749966458,26.12890625,24.75,27.75
2,0.6795976952166259,25.8046875,24.5,28.0
2,0.6155412181251045,25.87109375,24.75,28.0
2,0.5830527947994397,25.66796875,24.25,27.75
2,0.6480020186781346,25.87890625,24.25,28.0
2,0.7119241093684073,25.96875,24.75,28.25
2,0.6630852183814215,25.72265625,24.0,27.5
2,0.5998351824407685,25.5859375,24.5,28.0
2,0.5963015692780269,25.58203125,24.25,27.25
2,0.6071172115775915,25.6484375,25.0,27.75
2,0.6208726021382628,25.83984375,25.0,27.75
2,0.6961349594984707,26.27734375,24.5,28.5
2,0.59764348434079,26.046875,24.25,27.25
2,0.5439514488545255,25.49609375,24.5,27.0
2,0.6194578495295301,25.4296875,24.5,27.0
2,0.602006228392562,26.04296875,25.0,27.75
2,0.6465876286501602,25.83203125,25.0,28.25
2,0.6206759601119876,25.68359375,24.5,27.5
2,0.7711752743124857,25.99609375,24.75,28.0
2,0.810356246408794,26.2890625,24.75,28.5
2,0.708787959190723,26.3359375,25.0,28.25
